"","Recipient","Democracy.Score","Political.Rights","Civil.Liberties","X2019.FDI.Inflows","X2019.GNI.Per.Capita","X2018.Health.Expenditures","X2020.Population","Ready.Score","Prevent.Score","Detect.Score","Respond.Score","other","Amount.Committed.Individual","Amount.Disbursed.Individual","Projects","Democracy.Category","Cases","Deaths","Per.Capita.Committed","Per.Capita.Disbursed","Per.Capita.Cases","Per.Capita.Deaths","Per.hundredk.Cases","Per.hundredk.Deaths","country_code","2015 Dev. Asst.","2016 Dev. Asst.","2017 Dev. Asst.","2018 Dev. Asst.","2019 Dev. Asst."
"47","Mongolia",84,36,48,2443343095,3790,155.0936737,3278292,59,59,68,54,57,592753854.22,272222888.59,33,"Free",312376,1347,180.811792915335,83.0380236385288,0.0952862039135013,0.000410884692394698,9528.62039135013,41.0884692394698,"MNG",236339996.3,325670013.4,765590026.9,333519989,314529998.8
"48","Montenegro",63,24,39,418205414.7,9070,731.4816895,621718,53,45,58,59,53,99335081.098,46622782.468,28,"Partly Free",133005,1943,159.775140977099,74.9902407007679,0.213931396549561,0.00312521110857334,21393.1396549561,312.521110857334,"MNE",99959999.08,85730003.36,117989997.9,156210006.7,96940002.44
"49","Morocco",37,13,24,1720825003,3200,174.7818451,36910558,70,65,71,81,60,1583509564.385,795138970.3075,34,"Partly Free",935560,14355,42.9012632208107,21.5423177917684,0.0253466772298593,0.000388913112611302,2534.66772298593,38.8913112611302,"MAR",1518280029,2062310059,2427649902,818200012.2,757859985.4
"50","Mozambique",43,14,29,2180768236,490,40.26391602,31255435,47,46,51,50,40,317004515.047356,248347929.798799,96,"Partly Free",150807,1919,10.1423805186956,7.94575182840356,0.00482498483863686,0.0000613973217777964,482.498483863686,6.13973217777964,"MOZ",1819119995,1533770020,1806089966,1823510010,1907780029
"51","Namibia",77,31,46,-176478261.6,5180,471.4856873,2540916,44,49,60,31,30,5150662.42013369,6988122.14395722,29,"Free",127862,3517,2.02708882156423,2.7502373726472,0.0503212227401457,0.00138414650464636,5032.12227401457,138.414650464636,"NAM",142380004.9,170190002.4,190449996.9,159449996.9,148410003.7
"52","New Zealand",99,40,59,2943285693,42610,4037.462891,5084300,89,85,93,88,93,701047.171666667,3020508.02,3,"Free",4409,27,0.137884698319664,0.594085325413528,0.000867179356056881,0.00000531046555081329,86.7179356056881,0.531046555081329,"NZL",NA,NA,NA,NA,NA
"53","Niger",48,20,28,717147639.4,600,30.35857964,24206636,34,31,52,31,23,319403548.632949,170259699.838706,56,"Partly Free",6042,203,13.1948755140098,7.03359607004899,0.000249600977186586,0.00000838613015042652,24.9600977186586,0.838613015042652,"NER",869280029.3,952479980.5,1224699951,1199520020,1490349976
"54","Nigeria",45,21,24,2305099812,2030,83.75351715,206139587,39,39,51,31,37,1284286091.90146,591610014.789674,132,"Partly Free",206279,2724,6.2301768941715,2.86994857901638,0.00100067630386783,0.000013214346839649,100.067630386783,1.3214346839649,"NGA",2431540039,2498189941,3358959961,3304949951,3517320068
"55","Pakistan",37,15,22,2234000000,1410,42.87313461,220892331,50,46,51,49,60,865349202.228624,780598446.163911,92,"Partly Free",1252656,27947,3.91751582461513,3.53384131821177,0.00567088949774359,0.000126518652202552,567.088949774359,12.6518652202552,"PAK",3764020020,2961110107,2364310059,1386930054,2170739990
"56","Palau",92,37,55,22000000,16500,1723.455322,18092,57,58,48,67,50,41592945,35996931.2866667,5,"Free",5,0,2298.96888127349,1989.66014186749,0.000276365244306876,0,27.6365244306876,0,"PLW",13930000.31,17799999.24,22149999.62,84540000.92,24940000.53
"57","Philippines",56,25,31,8671365874,3850,136.5388184,109581085,52,43,59,58,53,4063861504.4185,3252202444.92406,89,"Partly Free",2604040,38828,37.0854286067573,29.6785019506246,0.0237635902217979,0.000354331224225422,2376.35902217979,35.4331224225422,"PHL",514950012.2,283649993.9,160479995.7,547340026.9,905380004.9
"58","Rwanda",21,8,13,384461863.6,830,58.30852127,12952209,59,60,61,60,50,223790258.967255,207280455.425364,54,"Not Free",97951,1288,17.2781537857562,16.0034829136377,0.00756249378001853,0.0000994424966428507,756.249378001853,9.94424966428507,"RWA",1088439941,1150469971,1231329956,1119660034,1191099976
"59","Sao Tome and Principe",84,35,49,24191799.51,1950,125.4003983,219161,34,37,38,35,23,19215580.87,16522528.56,15,"Free",3536,53,87.6779211173521,75.3899122562865,0.0161342574636911,0.000241831347730664,1613.42574636911,24.1831347730664,"STP",48950000.76,47040000.92,40240001.68,46259998.32,51369998.93
"60","Senegal",71,29,42,983338154,1430,58.90360641,16743930,45,41,59,44,37,511791676.598189,158524436.805763,66,"Partly Free",73802,1860,30.5658036433615,9.46757641758911,0.00440768684532245,0.000111085032008614,440.768684532245,11.1085032008614,"SEN",869400024.4,731219970.7,908179992.7,998940002.4,1443880005
"61","Serbia",64,22,42,4268709250,7030,617.0865479,6908224,55,56,62,53,47,592185550.348,49435434.048,29,"Partly Free",966989,8430,85.7218223306019,7.15602650522044,0.13997649757738,0.00122028469256353,13997.649757738,122.028469256353,"SRB",312480011,633469970.7,1688420044,1070020020,570700012.2
"62","Seychelles",77,34,43,253880560.1,15930,833.0789795,98462,53,63,66,42,33,13507436.63,13217931.45,5,"Free",21556,112,137.184260222218,134.243987020373,0.218927098779224,0.00113749466799374,21892.7098779224,113.749466799374,"SYC",6780000.21,5800000.191,16200000.76,NA,NA
"63","Sierra Leone",65,28,37,342447726.8,540,85.77548218,7976985,43,36,51,51,37,54333212.6141288,50643653.8167955,49,"Partly Free",6396,121,6.81124668206456,6.34872120441438,0.000801806697643283,0.000015168638276241,80.1806697643283,1.5168638276241,"SLE",946820007.3,693260009.8,541169982.9,507980011,594640014.6
"64","Singapore",48,19,29,120439000000,58390,2823.638184,5685807,93,98,98,89,80,0,10398,2,"Partly Free",106318,121,0,0.00182876414904692,0.0186988408153847,0.0000212810600148756,1869.88408153847,2.12810600148756,"SGP",NA,NA,NA,NA,NA
"65","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59055365.9285,112059919.667591,94,"Not Free",20577,1137,NA,NA,NA,NA,NA,NA,"SOM",1260560059,1183640015,1760369995,1575180054,1865579956
"66","South Africa",79,33,46,5116098443,6040,525.9569092,59308690,62,64,65,60,60,546264096.538088,427878457.325662,77,"Free",2906851,87819,9.21052372827807,7.21443109476304,0.0490122273818558,0.00148071049959121,4901.22273818558,148.071049959121,"ZAF",1420270020,1180280029,1014809998,921140014.6,971479980.5
"67","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132230002.244578,98686364.4182442,79,"Not Free",12041,130,NA,NA,NA,NA,NA,NA,"SSD",1674829956,1587030029,2183239990,1577500000,1885270020
"68","Sri Lanka",56,23,33,758186663.2,4010,157.4658508,21919000,57,59,65,51,50,573806464.72525,307589841.12,43,"Partly Free",521218,13102,26.1784964973425,14.0330234554496,0.0237792782517451,0.00059774624754779,2377.92782517451,59.774624754779,"LKA",445010009.8,373480011,316170013.4,-247369995.1,197350006.1
"69","Sudan",17,2,15,825354992.3,820,60.17465973,43849269,57,54,50,75,43,232554081.319365,120384101.345699,85,"Not Free",38345,2909,5.3034882136659,2.74540725743224,0.000874472958716826,0.0000663409006886751,87.4472958716826,6.63409006886751,"SDN",969700012.2,809090026.9,862409973.1,967489990.2,1624670044
"70","Switzerland",96,39,57,37313310481,87950,9870.664063,8636896,89,87,95,86,90,683751,1062778.38,2,"Free",844209,11103,0.079166288444367,0.123050964142673,0.0977444906132944,0.0012855312834611,9774.44906132944,128.55312834611,"CHE",NA,NA,NA,NA,NA
"71","Tajikistan",8,0,8,212809730.7,1070,59.84311676,9537642,60,57,51,68,63,30330953.9420833,20537508.59875,29,"Not Free",17484,125,3.18013130940366,2.15331091256623,0.00183315750371004,0.0000131059647657146,183.315750371004,1.31059647657146,"TJK",432250000,359730011,328190002.4,403570007.3,366559997.6
"72","Thailand",30,5,25,4816635832,7260,275.9165039,69799978,76,79,74,72,77,1503163993.78,756041391.305893,31,"Not Free",1647362,17111,21.5353075581199,10.8315419713441,0.0236011822238683,0.000245143343741455,2360.11822238683,24.5143343741455,"THA",58669998.17,227779998.8,250220001.2,-419350006.1,-338200012.2
"73","Timor-Leste",72,33,39,74580323.02,2020,93.69417572,1318442,34,36,43,30,27,16264303.98,23889398.05,23,"Free",19592,118,12.3360026303774,18.1194152264567,0.0148599635023763,0.0000894995760147204,1485.99635023763,8.94995760147204,"TLS",212289993.3,223699996.9,231960006.7,207649993.9,235929992.7
"74","Togo",43,15,28,345697547,920,41.83677292,8278737,36,36,48,32,27,83784465.23,69331289.07,20,"Partly Free",25586,234,10.1204405007672,8.37462152379041,0.00309056804196099,0.0000282651810294251,309.056804196099,2.82651810294251,"TGO",199470001.2,168250000,344950012.2,296959991.5,411619995.1
"75","Tunisia",71,32,39,810173457.7,3340,251.5467224,11818618,59,57,65,62,50,972083711.763333,323864429.265833,55,"Free",708203,24934,82.2502014840765,27.4029018677,0.0599226576237594,0.00210972213502459,5992.26576237594,210.972213502459,"TUN",495869995.1,646820007.3,811890014.6,806780029.3,984030029.3
"76","Uganda",34,11,23,1266026788,780,43.13787842,45741000,51,52,64,49,33,383686481.48637,419951833.005146,164,"Not Free",124039,3162,8.38823990481997,9.18108115268897,0.00271176843532061,0.0000691283531186463,271.176843532061,6.91283531186463,"UGA",1638160034,1762599976,2011810059,1945469971,2100010010
"77","Zambia",52,20,32,547967909.6,1430,75.99179077,18383956,42,48,52,31,37,59718541.4901337,61284207.9906239,54,"Partly Free",209172,3649,3.24840537532475,3.33357020603312,0.0113779645686706,0.000198488290550739,1137.79645686706,19.8488290550739,"ZMB",797140014.6,966460022,1040489990,1000440002,976280029.3
"78","Zimbabwe",28,11,17,280000000,1200,140.3203125,14862927,40,42,59,28,30,57580529.4555175,113188963.701767,79,"Not Free",131129,4627,3.87410430364877,7.61552308652036,0.00882255561101794,0.000311311493355246,882.255561101794,31.1311493355246,"ZWE",788289978,654250000,725840026.9,794510009.8,974890014.6
